tipo,t0,alpha,configuracion,repeticiones,tasa_exito_promedio,tasa_exito_desviacion,tasa_exito_minima,tasa_exito_maxima,h_final_promedio,h_final_desviacion,evaluaciones_promedio,porcentaje_truncadas
alpha,10.0,0.99,temple_10.0_0.99,10,9.0,4.2295258468165065,0.0,13.333333333333334,3.1666666666666665,1.3161391348266422,9531.386666666667,91.0
alpha,10.0,0.995,temple_10.0_0.995,10,5.0,3.415650255319866,0.0,10.0,3.42,1.184736257569591,9571.803333333333,95.0
alpha,10.0,0.998,temple_10.0_0.998,10,4.000000000000001,3.8873012632302006,0.0,13.333333333333334,3.5233333333333334,1.1118103355438922,9627.03,96.0
interaccion,0.5,0.9,temple_0.5_0.9,10,2.333333333333333,2.1343747458109497,0.0,6.666666666666667,6.416666666666667,2.5012774514013616,2153.7533333333336,0.0
interaccion,0.5,0.95,temple_0.5_0.95,10,2.0,4.0,0.0,13.333333333333334,5.733333333333333,2.0645150089602695,4421.19,0.0
interaccion,0.5,0.97,temple_0.5_0.97,10,5.666666666666667,4.725815626252608,0.0,16.666666666666664,4.803333333333334,1.9230155716709338,7197.166666666667,0.0
interaccion,0.5,0.99,temple_0.5_0.99,10,11.333333333333334,5.617433182117572,3.3333333333333335,23.333333333333332,3.966666666666667,1.7006534691765465,8918.23,88.66666666666667
interaccion,0.5,0.995,temple_0.5_0.995,10,19.333333333333336,6.79869268479038,10.0,30.0,3.4833333333333334,1.8787554982546881,8477.586666666666,80.66666666666666
interaccion,0.5,0.998,temple_0.5_0.998,10,26.333333333333332,5.259911279353165,20.0,33.33333333333333,3.046666666666667,1.9142854773750149,8271.97,73.66666666666667
interaccion,1.0,0.9,temple_1.0_0.9,10,11.666666666666666,4.281744192888375,3.3333333333333335,16.666666666666664,4.083333333333333,1.910424618304062,2611.88,0.0
interaccion,1.0,0.95,temple_1.0_0.95,10,23.666666666666668,5.467073155618909,10.0,30.0,3.1333333333333333,1.8535251699277127,4664.45,0.0
interaccion,1.0,0.97,temple_1.0_0.97,10,38.66666666666667,7.023769168568492,30.0,56.666666666666664,2.42,1.9706851600395232,6431.236666666667,61.33333333333333
interaccion,1.0,0.99,temple_1.0_0.99,10,78.33333333333334,8.85061203156784,63.33333333333333,90.0,0.7966666666666666,1.5368763414435427,3913.15,21.666666666666668
interaccion,1.0,0.995,temple_1.0_0.995,10,93.66666666666666,5.666666666666668,80.0,100.0,0.22666666666666666,0.8805049056586164,3220.08,6.333333333333334
interaccion,1.0,0.998,temple_1.0_0.998,10,96.33333333333333,4.068851871911233,86.66666666666667,100.0,0.13,0.6731270311018567,3074.5033333333336,3.6666666666666665
interaccion,2.0,0.9,temple_2.0_0.9,10,25.666666666666664,8.034647195462632,10.0,36.666666666666664,2.96,1.8325937902328493,2869.11,0.0
interaccion,2.0,0.95,temple_2.0_0.95,10,44.33333333333333,8.950481054731702,30.0,56.666666666666664,2.0833333333333335,1.910424618304062,4662.623333333333,0.0
interaccion,2.0,0.97,temple_2.0_0.97,10,67.66666666666667,7.461009761866467,56.666666666666664,76.66666666666667,1.1333333333333333,1.6799470891138868,4575.863333333334,32.33333333333333
interaccion,2.0,0.99,temple_2.0_0.99,10,90.66666666666666,2.494438257849294,86.66666666666667,96.66666666666667,0.3,0.9643650760992956,4363.013333333333,9.333333333333334
interaccion,2.0,0.995,temple_2.0_0.995,10,87.33333333333333,5.537749241945382,80.0,96.66666666666667,0.4033333333333333,1.0957442929605226,4750.526666666667,12.666666666666668
interaccion,2.0,0.998,temple_2.0_0.998,10,77.33333333333333,8.000000000000002,60.0,90.0,0.58,1.1790956986889005,5665.16,22.666666666666664
interaccion,5.0,0.9,temple_5.0_0.9,10,25.333333333333332,7.916228058025278,13.333333333333334,36.666666666666664,2.9133333333333336,1.8108438793986508,3652.2566666666667,0.0
interaccion,5.0,0.95,temple_5.0_0.95,10,53.0,7.810249675906653,40.0,63.33333333333333,1.6466666666666667,1.8189252015651687,5840.48,0.0
interaccion,5.0,0.97,temple_5.0_0.97,10,67.33333333333334,8.273115763993907,56.666666666666664,83.33333333333334,1.0333333333333334,1.5595583420386114,6263.116666666667,32.666666666666664
interaccion,5.0,0.99,temple_5.0_0.99,10,44.66666666666667,9.333333333333334,26.666666666666668,56.666666666666664,1.7133333333333334,1.6826038023122245,8289.59,55.333333333333336
interaccion,5.0,0.995,temple_5.0_0.995,10,21.666666666666664,8.333333333333334,3.3333333333333335,30.0,2.46,1.5837929157563497,8853.53,78.33333333333333
interaccion,5.0,0.998,temple_5.0_0.998,10,17.666666666666664,9.073771725877465,0.0,33.33333333333333,2.75,1.5386682553429119,9017.366666666667,82.33333333333334
interaccion,10.0,0.9,temple_10.0_0.9,10,22.666666666666664,5.120763831912406,13.333333333333334,30.0,2.966666666666667,1.7489679496459873,4425.843333333333,0.0
interaccion,10.0,0.95,temple_10.0_0.95,10,54.33333333333333,7.310570733153769,40.0,63.33333333333333,1.6033333333333333,1.8090482457788557,6691.076666666667,45.666666666666664
interaccion,10.0,0.97,temple_10.0_0.97,10,67.99999999999999,7.023769168568492,56.666666666666664,80.0,1.05,1.6064972248134552,7563.606666666667,32.0
interaccion,10.0,0.99,temple_10.0_0.99,10,9.0,4.2295258468165065,0.0,13.333333333333334,3.1666666666666665,1.3161391348266422,9531.386666666667,91.0
interaccion,10.0,0.995,temple_10.0_0.995,10,5.0,3.415650255319866,0.0,10.0,3.42,1.184736257569591,9571.803333333333,95.0
interaccion,10.0,0.998,temple_10.0_0.998,10,4.000000000000001,3.8873012632302006,0.0,13.333333333333334,3.5233333333333334,1.1118103355438922,9627.03,96.0
interaccion,20.0,0.9,temple_20.0_0.9,10,30.333333333333332,7.2188026092359046,13.333333333333334,43.333333333333336,2.6033333333333335,1.8491409416867666,4809.566666666667,0.0
interaccion,20.0,0.95,temple_20.0_0.95,10,50.666666666666664,11.333333333333332,30.0,66.66666666666666,1.69,1.8149104661112072,7617.25,49.333333333333336
interaccion,20.0,0.97,temple_20.0_0.97,10,50.00000000000001,6.992058987801011,36.666666666666664,60.0,1.5866666666666667,1.699751615841431,8658.936666666666,50.0
interaccion,20.0,0.99,temple_20.0_0.99,10,4.0,4.163331998932265,0.0,10.0,3.73,1.1330342742682882,9640.83,96.0
interaccion,20.0,0.995,temple_20.0_0.995,10,3.3333333333333335,3.3333333333333335,0.0,10.0,3.7066666666666666,1.1316458024586236,9730.17,96.66666666666667
interaccion,20.0,0.998,temple_20.0_0.998,10,4.333333333333334,3.0,0.0,10.0,3.76,1.1898459284013765,9633.3,95.66666666666667
interaccion,40.0,0.9,temple_40.0_0.9,10,30.666666666666668,8.79393730551528,16.666666666666664,46.666666666666664,2.5933333333333333,1.8388281292412538,5458.1,0.0
interaccion,40.0,0.95,temple_40.0_0.95,10,52.0,8.055363982396381,40.0,63.33333333333333,1.6233333333333333,1.7855313557096169,8148.73,48.0
interaccion,40.0,0.97,temple_40.0_0.97,10,17.0,6.0461190490723515,10.0,26.666666666666668,2.8533333333333335,1.5313900729584073,9475.66,83.0
interaccion,40.0,0.99,temple_40.0_0.99,10,2.333333333333333,2.6034165586355513,0.0,6.666666666666667,3.91,1.0433439829062447,9702.48,97.66666666666667
interaccion,40.0,0.995,temple_40.0_0.995,10,3.666666666666667,3.7859388972001824,0.0,10.0,3.9166666666666665,1.1901213756961466,9690.02,96.33333333333334
interaccion,40.0,0.998,temple_40.0_0.998,10,2.333333333333333,1.5275252316519465,0.0,3.3333333333333335,3.9366666666666665,1.08596603179944,9712.18,97.66666666666667
