configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima
temple_actividad_sin_tope,8,1,2-8-7-6-3-1-5-0-4,1-2-3-4-5-6-7-8-0,19,0,7262,True,False,6007.0,25
temple_actividad_sin_tope,9,1,3-2-1-7-5-4-8-6-0,1-2-3-0-5-6-7-8-4,10,3,17401,False,False,,22
temple_actividad_sin_tope,10,1,3-5-4-6-2-7-8-0-1,1-2-3-4-0-6-7-5-8,17,2,17401,False,False,,27
temple_actividad_sin_tope,11,1,3-6-2-5-0-4-1-7-8,1-2-3-4-5-6-7-8-0,12,0,8013,True,False,6370.0,16
temple_actividad_sin_tope,12,1,4-1-5-2-6-3-0-7-8,1-2-3-4-5-6-7-8-0,10,0,6738,True,False,5660.0,18
temple_actividad_sin_tope,13,1,4-1-8-3-5-7-2-6-0,1-2-3-4-5-6-7-8-0,16,0,9956,True,False,7154.0,24
temple_actividad_sin_tope,14,1,4-3-2-1-0-6-7-5-8,1-2-3-4-5-6-7-8-0,6,0,5120,True,False,4492.0,18
temple_actividad_sin_tope,15,1,4-3-7-6-2-5-0-1-8,1-0-3-4-5-6-7-8-2,14,3,17401,False,False,,26
temple_actividad_sin_tope,16,1,4-5-0-1-2-7-8-3-6,1-2-3-0-5-6-7-8-4,12,3,17401,False,False,,22
temple_actividad_sin_tope,17,1,5-1-2-6-4-7-3-0-8,1-2-0-5-4-6-7-8-3,15,4,17401,False,False,,23
temple_actividad_sin_tope,18,1,5-1-7-8-6-3-2-4-0,1-2-3-4-5-6-7-8-0,16,0,5698,True,False,4952.0,24
temple_actividad_sin_tope,19,1,6-0-1-8-4-7-3-2-5,1-2-3-4-5-6-7-8-0,19,0,6368,True,False,5447.0,27
temple_actividad_sin_tope,20,1,6-3-7-5-1-4-8-2-0,1-2-3-4-5-6-7-8-0,16,0,3871,True,False,3494.0,24
temple_actividad_sin_tope,21,1,6-8-2-3-1-5-4-0-7,1-2-3-4-5-6-7-8-0,15,0,5755,True,False,5027.0,21
temple_actividad_sin_tope,22,1,7-0-8-6-3-2-1-4-5,1-2-3-4-5-6-7-8-0,17,0,6185,True,False,5327.0,23
temple_actividad_sin_tope,23,1,7-1-8-2-0-3-5-4-6,1-2-3-4-7-6-0-8-5,14,4,17401,False,False,,22
temple_actividad_sin_tope,24,1,7-3-2-1-0-6-8-5-4,1-2-3-4-5-6-7-8-0,10,0,6751,True,False,5660.0,22
temple_actividad_sin_tope,25,1,7-8-3-4-1-2-0-5-6,1-5-3-7-2-6-4-8-0,10,4,17401,False,False,,22
temple_actividad_sin_tope,26,1,8-1-2-3-6-0-7-5-4,1-2-3-0-5-6-7-8-4,13,3,17401,False,False,,23
temple_actividad_sin_tope,27,1,8-1-7-3-0-2-6-5-4,1-2-3-4-5-6-7-8-0,20,0,8340,True,False,6528.0,22
temple_actividad_sin_tope,28,1,8-4-1-3-5-7-0-2-6,1-2-3-4-5-6-7-8-0,16,0,5350,True,False,4710.0,26
temple_actividad_sin_tope,29,1,8-6-4-5-0-3-7-1-2,1-2-0-4-5-6-8-7-3,16,4,17401,False,False,,26
temple_actividad_sin_tope,0,2,0-1-6-3-4-7-8-2-5,1-2-3-4-5-6-7-8-0,14,0,10933,True,False,7260.0,22
temple_actividad_sin_tope,1,2,0-6-7-8-4-3-1-2-5,1-2-3-4-5-6-7-8-0,16,0,8333,True,False,6476.0,28
temple_actividad_sin_tope,2,2,1-0-3-2-7-4-8-5-6,1-2-3-4-5-6-7-8-0,9,0,5717,True,False,4955.0,21
temple_actividad_sin_tope,3,2,1-6-8-3-5-0-4-7-2,1-2-3-4-5-0-7-8-6,13,1,17401,False,False,,17
temple_actividad_sin_tope,4,2,1-7-4-8-2-3-0-6-5,1-2-3-4-5-6-7-8-0,14,0,8163,True,False,6488.0,20
temple_actividad_sin_tope,5,2,2-3-1-7-4-5-8-6-0,1-2-3-4-5-6-7-8-0,10,0,7237,True,False,5990.0,16
temple_actividad_sin_tope,6,2,2-7-1-6-4-8-0-3-5,1-2-3-4-5-6-7-8-0,16,0,4702,True,False,4162.0,26
temple_actividad_sin_tope,7,2,2-8-4-6-1-3-0-5-7,1-2-3-4-5-6-7-8-0,14,0,4386,True,False,3930.0,22
temple_actividad_sin_tope,8,2,2-8-7-6-3-1-5-0-4,1-2-3-4-5-6-7-8-0,19,0,7062,True,False,5809.0,25
temple_actividad_sin_tope,9,2,3-2-1-7-5-4-8-6-0,1-2-3-4-8-6-5-7-0,10,4,17401,False,False,,22
temple_actividad_sin_tope,10,2,3-5-4-6-2-7-8-0-1,1-2-3-4-5-6-7-8-0,17,0,9294,True,False,6875.0,27
