configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima,estado_partida,cantidad_intentos,resuelto_sin_reinicio
estocastico,5,1,2-3-1-7-4-5-8-6-0,2-3-1-4-5-6-7-8-0,10,4,20,False,False,,16,,,
estocastico,6,1,2-7-1-6-4-8-0-3-5,2-7-1-6-4-8-0-3-5,16,16,3,False,False,,26,,,
estocastico,7,1,2-8-4-6-1-3-0-5-7,2-8-4-6-1-3-0-5-7,14,14,3,False,False,,22,,,
estocastico,8,1,2-8-7-6-3-1-5-0-4,2-8-7-6-3-1-5-4-0,19,18,6,False,False,,25,,,
estocastico,9,1,3-2-1-7-5-4-8-6-0,3-2-1-0-5-4-7-8-6,10,7,11,False,False,,22,,,
estocastico,10,1,3-5-4-6-2-7-8-0-1,3-5-0-6-2-4-8-1-7,17,14,11,False,False,,27,,,
estocastico,11,1,3-6-2-5-0-4-1-7-8,3-6-2-5-4-0-1-7-8,12,11,8,False,False,,16,,,
estocastico,12,1,4-1-5-2-6-3-0-7-8,4-1-5-2-6-3-7-8-0,10,8,8,False,False,,18,,,
estocastico,13,1,4-1-8-3-5-7-2-6-0,4-1-8-3-5-7-0-2-6,16,14,8,False,False,,24,,,
estocastico,14,1,4-3-2-1-0-6-7-5-8,4-3-2-1-5-6-7-8-0,6,4,10,False,False,,18,,,
estocastico,15,1,4-3-7-6-2-5-0-1-8,4-3-7-6-2-5-1-8-0,14,12,8,False,False,,26,,,
estocastico,16,1,4-5-0-1-2-7-8-3-6,4-5-0-1-2-7-8-3-6,12,12,3,False,False,,22,,,
estocastico,17,1,5-1-2-6-4-7-3-0-8,5-1-2-6-4-7-0-3-8,15,14,6,False,False,,23,,,
estocastico,18,1,5-1-7-8-6-3-2-4-0,5-1-7-8-6-3-2-4-0,16,16,3,False,False,,24,,,
estocastico,19,1,6-0-1-8-4-7-3-2-5,6-1-0-8-4-7-3-2-5,19,18,6,False,False,,27,,,
estocastico,20,1,6-3-7-5-1-4-8-2-0,6-3-7-5-1-4-8-2-0,16,16,3,False,False,,24,,,
estocastico,21,1,6-8-2-3-1-5-4-0-7,6-8-2-3-1-5-4-7-0,15,14,6,False,False,,21,,,
estocastico,22,1,7-0-8-6-3-2-1-4-5,0-8-2-7-6-3-1-4-5,17,12,18,False,False,,23,,,
estocastico,23,1,7-1-8-2-0-3-5-4-6,1-8-3-7-2-6-5-4-0,14,8,20,False,False,,22,,,
