configuracion,repeticiones,tasa_exito_promedio,tasa_exito_desviacion,tasa_exito_minima,tasa_exito_maxima,h_final_promedio,h_final_desviacion,evaluaciones_promedio,porcentaje_truncadas,corridas_resueltas,longitud_solucion_promedio,longitud_solucion_desviacion,longitud_solucion_minima,longitud_solucion_maxima,razon_sobre_optima_promedio,nota
steepest,1,0.0,0.0,0.0,0.0,12.533333333333333,3.7747700445045504,7.4,0.0,0,,,,,,
estocastico,10,0.0,0.0,0.0,0.0,12.346666666666666,3.799976608115137,7.92,0.0,0,,,,,,
reinicios,10,32.66666666666667,5.537749241945383,26.666666666666668,43.333333333333336,2.9166666666666665,2.1793857442458924,7568.683333333333,67.33333333333333,98,31.46938775510204,2.7263045244158,24.0,40.0,1.6041923147663273,K = 20: mayor K redondo por debajo del diametro del espacio de estados (31); el barrido completo de K esta en reinicios_barrido_k.csv
temple_actividad,10,67.99999999999999,7.023769168568492,56.666666666666664,80.0,1.05,1.6064972248134552,7563.606666666667,32.0,204,5384.8725490196075,1120.7991299240916,860.0,6984.0,245.04252653556568,
temple_mejor,10,96.33333333333333,4.068851871911233,86.66666666666667,100.0,0.13,0.6731270311018567,3074.5033333333336,3.6666666666666665,289,1473.7058823529412,1039.3031468930847,51.0,4756.0,66.88448180635483,"T0 = 1, alpha = 0.998: mejor combinacion del barrido T0 x alpha con el presupuesto compartido (temple_barrido.csv)"
