k,principal,supera_diametro,configuracion,repeticiones,tasa_exito_promedio,tasa_exito_desviacion,tasa_exito_minima,tasa_exito_maxima,h_final_promedio,h_final_desviacion,evaluaciones_promedio,porcentaje_truncadas,corridas_resueltas,longitud_solucion_promedio,longitud_solucion_desviacion,longitud_solucion_minima,longitud_solucion_maxima
10,False,False,reinicios_k_10,10,10.333333333333334,1.7950549357115015,6.666666666666667,13.333333333333334,4.933333333333334,2.282299035816492,9088.97,89.66666666666666,31,21.161290322580644,1.7431298175621028,18.0,27.0
20,True,False,reinicios_k_20,10,32.66666666666667,5.537749241945383,26.666666666666668,43.333333333333336,2.9166666666666665,2.1793857442458924,7568.683333333333,67.33333333333333,98,31.46938775510204,2.7263045244158,24.0,40.0
50,False,True,reinicios_k_50,10,80.33333333333334,5.259911279353167,70.0,90.0,0.7133333333333334,1.4575626535037487,4500.61,19.666666666666664,241,61.518672199170126,3.329838678200052,52.0,72.0
100,False,True,reinicios_k_100,10,95.0,3.0731814857642976,90.0,100.0,0.17,0.7490660852021003,2898.45,5.0,285,110.92631578947369,3.482010223782036,102.0,121.0
200,False,True,reinicios_k_200,10,97.33333333333334,2.4944382578492954,93.33333333333333,100.0,0.08333333333333333,0.5063485843654436,2545.76,2.666666666666667,292,210.9417808219178,3.573116073192825,202.0,220.0
